C1,C2,C3,C4,C5,C6,C7,C8,N1,N2,N3,N4,N7,N8,N9,N10,N10.1,N11,N12,N14,N15,N16,N17,N18,N19,N21,N22,N23,N24,N33,N35,Dependent_Variable
1,1,31,1,1,False,4,True,35.0,84.0,3.0,11.0,44.0,9,232,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6340.0,0.95,214.0,0.75,0.0,62.0,3083.333333,40.0,16.0,0
2,3,17,18,1,False,7,True,20.39,44.0,3.6,1.0,4.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0.0,32.0,1666.666667,200.0,5.0,1
1,0,0,2,0,False,0,True,28.0,,2.5,,25.0,1,0,9.0,2.0,8.0,,66.0,0.0,,,,,,,26.0,1500.0,42.0,15.0,1
1,1,20,12,2,False,2,True,18.0,134.0,3.3,11.0,21.0,8,171,0.0,6.0,22.0,0.0,8.0,1.0,0.0,5879.0,0.15,32921.0,0.83,2.0,30.0,4583.333333,120.0,19.0,0
1,7,48,1,4,False,2,False,31.77,131.0,3.4,5.0,6.0,2,88,0.0,4.0,5.0,0.0,1.0,0.0,0.0,2784.0,0.56,2116.0,0.83,0.0,,4166.666667,80.0,13.0,1
1,2,7,57,4,False,1,False,15.0,19.0,3.7,14.0,28.0,10,141,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3950.0,0.17,13660.0,0.66,0.0,,10416.66667,50.0,17.0,0
1,3,17,6,2,True,6,True,9.95,80.0,4.1,7.0,33.0,7,74,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3193.0,0.06,46007.0,1.0,1.0,16.0,7375.0,300.0,18.0,0
1,0,2,1,2,False,6,True,25.2,3.0,3.1,14.0,52.0,12,357,4.0,5.0,12.0,4229.0,33.0,0.0,0.0,5080.0,0.0,0.0,0.67,1.0,52.0,6333.333333,80.0,24.0,0
1,1,2,0,1,True,1,True,12.99,11.0,3.8,14.0,28.0,11,873,0.0,1.0,6.0,0.0,0.0,0.0,0.0,76084.0,0.4,83545.0,1.0,1.0,32.0,11250.0,450.0,17.0,0
1,0,0,41,0,True,0,True,20.25,,3.3,,36.0,4,425,5.0,4.0,11.0,,27.0,0.0,,,,,,,88.0,3500.0,120.02,22.0,0
1,7,13,1,1,False,2,True,26.99,21.0,3.3,7.0,34.0,4,68,2.0,0.0,3.0,1500.0,4.0,0.0,0.0,3199.0,0.58,2301.0,0.81,1.0,18.0,6000.0,150.0,15.0,0
1,0,26,10,0,False,0,True,29.0,,2.5,,5.0,2,20,0.0,4.0,7.0,,0.0,0.0,,,,,,,598.0,145.833333,25.5,8.0,1
1,0,0,15,0,True,0,True,12.95,,3.5,,46.0,8,140,11.0,10.0,12.0,,5.0,1.0,,,,,,,26.0,11666.66667,240.0,25.0,0
1,1,2,0,2,True,6,False,23.0,34.0,3.4,1.0,9.0,1,0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6666.666667,80.0,19.0,0
2,1,12,1,1,False,6,True,13.29,33.0,3.3,4.0,22.0,3,362,0.0,0.0,7.0,0.0,1.0,0.0,0.0,10427.0,0.93,773.0,0.94,0.0,22.0,7795.333333,220.0,26.0,0
1,0,2,1,0,False,0,True,29.0,,3.0,,2.0,1,25,0.0,2.0,10.0,,0.0,0.0,,,,,,,1212.0,158.333333,300.0,8.0,0
1,0,0,1,0,False,0,True,28.0,,2.5,,5.0,0,0,2.0,7.0,27.0,,5.0,0.0,,,,,,,8.0,2537.583333,51.0,15.0,0
1,0,20,17,2,True,4,True,22.09,321.0,2.6,12.0,28.0,9,248,1.0,6.0,14.0,269.0,1.0,0.0,0.0,6808.0,0.99,180.0,0.89,5.0,94.0,2228.0,20.0,18.0,1
2,2,3,1,1,False,4,True,24.89,20.0,3.7,4.0,22.0,1,25,0.0,0.0,6.0,0.0,0.0,1.0,0.0,59.0,0.14,341.0,0.89,0.0,88.0,2916.666667,300.0,17.0,1
1,0,2,1,2,False,4,True,20.13,10.0,3.0,4.0,11.0,2,58,2.0,4.0,5.0,846.0,2.0,0.0,0.0,951.0,0.63,549.0,0.33,1.0,14.0,2333.333333,60.0,18.0,0
1,0,34,10,2,True,1,True,19.0,51.0,3.5,21.0,55.0,15,2075,0.0,4.0,14.0,0.0,0.0,0.0,0.0,99994.0,0.98,1694.0,0.98,0.0,40.0,17083.33333,460.0,33.0,1
1,1,7,10,2,True,1,True,18.99,94.0,3.5,9.0,31.0,7,1385,0.0,1.0,9.0,0.0,0.0,0.0,0.0,215447.0,0.99,1527.0,1.0,0.0,14.0,22916.66667,300.0,21.0,0
1,0,5,0,2,True,4,True,22.0,39.0,3.2,11.0,14.0,9,120,0.0,2.0,9.0,0.0,0.0,0.0,0.0,5299.0,0.73,1610.0,0.91,0.0,42.0,3504.916667,240.0,12.0,1
1,0,3,31,0,False,0,True,17.75,,3.0,,2.0,1,52,0.0,3.0,6.0,,0.0,0.0,,,,,,,12.0,2916.666667,76.0,10.0,1
